KEY,EN,ES
tut_txt_01,"Very well kid, let's get you ready for the tournament.\nFirst, let's check your jabs.","Muy bien muchacho, te prepararé para el torneo.\nPrimero, veamos tus jabs."
tut_obj_jab,Throw {0} jabs,Lanza {0} jabs
tut_txt_02,"Good, very good.\nDon't forget you can also charge your jabs for a moment to mix up your attack rhythm and avoid being predictable. Charging your jabs won't make them deal more damage though.\nNow, jabs are fast and fun, but we also want to make real damage. Imagine some dude molesting your sister, then charge your attack until you're RED from angriness and throw a hook.","Bien, muy bien.\nNo olvides que también puedes cargar tus jabs por un momento para variar el ritmo de tus ataques y evitar ser predecible. Aunque cargar tus jabs no hará que hagan más daño.\nAhora, los jabs son rápidos y divertidos, pero también queremos hacer daño real. Imagina que algún tipo está molestando a tu hermana, luego carga tu ataque hasta que estés ROJO de la ira y lanza un gancho."
tut_obj_hook,Throw {0} hooks,Lanza {0} ganchos
tut_txt_03,"You make me and your hypothetical sister proud, kid.\nHooks are DEVASTATINGLY powerful, but charging them leaves you exposed to quick jabs, keep that in mind.\nYou have some heavy hands boy, but throwing punches like crazy won't win you many fights.\nDefend yourself if you like how your nose looks.","Haces que tu hipotética hermana y yo estemos orgullosos, muchacho.\nLos ganchos son DEVASTADORAMENTE poderosos, pero mientras cargas tu ataque quedas expuesto a jabs rápidos, así que ten eso en mente.\nTienes unas manos realmente pesadas muchacho, pero lanzar tus puños como loco no te ganará muchas peleas.\nDefiendete si te gusta como luce tu nariz."
tut_obj_guard,Block {0} jabs,Bloquea {0} jabs
tut_txt_04,"Not bad, not bad at all. But...","Nada mal, nada mal. Pero..."
tut_txt_05,"You can only resist so much, and trying to block a powerful hook will get you dazed. And if you stay like that, your opponent will hit you plenty.\nShake away that dizziness if you don't want to get your ass beaten.","Tu resistencia tiene un límite, y tratar de bloquear un poderoso gancho te dejará aturdido. Y si te quedas así tu oponente te golpeará hasta aburrirse.\nDeshazte de ese aturdimiento si no quieres que te pateen el trasero."
tut_obj_dizzy,Recover yourself,Recuperate
tut_txt_06,"You're looking better already. So, how do you defend from a hook? You don't son. You have dodge that punch.\nGet ready to dodge if you don't want to get hurt.","Ya te ves mejor. Así que, como te defiendes de un gancho? No lo haces hijo. Debes esquivar ese puñetazo.\nPrepárate a esquivar si no quieres salir lastimado."
tut_obj_dodge,Dodge {0} hooks,Esquiva {0} ganchos
tut_txt_07,Very well. Now... ,Muy bien. Ahora...
tut_txt_08,"Attacking, blocking and dodging requires energy, so throwing blows like a maniac, blocking too many attacks or doding nonstop will get you tired pretty fast.\nLet me show you.","Atacar, bloquear y esquivar requiere energía, así que lanzar puñetazos como maniático, bloquear demasiados ataques o esquivar constantemente hará que te canses bastante rápido.\nDeja que te muestre."
tut_txt_09,"See? Now you're tired. While you're tired you won't be able to throw punches or dodge properly until you recover some energy.\nAlso if you're tired, trying to block a jab will get you dazed too.\nYou have to rest to recover your energy. It recovers quite fast, so don't worry.","¿Ves? Ahora estás cansado. Mientras estés cansado no serás capaz de lanzar golpes o esquivar apropiadamente hasta que recuperes algo de energía.\nAdemás si estás cansado, tratar de bloquear un jab también te aturdirá.\nTienes que descansar para recuperar tu energía. Se recupera bastante rápido, así que no te preocupes."
tut_txt_10,"Good as new.\nOh, and uh, also... Receiving some punches can regain you some energy. Because of the anger of being punched in the face I guess?\nI'm not sure if I would recommend that, though.","Como nuevo.\nOh, y eh, también... Recibir algunos puñetazos puede recuperarte un poco de energía... ¿Por la ira que genera ser golpeado en la cara, supongo?\nAunque no estoy seguro si lo recomiendo."
tut_txt_11,"Lastly, what should you do if you're tired and you can't attack or dodge, but also you don't want to get punched?\nWell, you can do a counter attack son.\nA counter attack is like a jab, but it deals some extra damage and, the best part, doesn't consume energy at all.\nToo good to be true? Well, let me warn you is not that easy to pull.\nYou have to block at the same time your opponent throws an attack to do a counter attack.\nNow, try to counter my jabs.","Por último, ¿que deberías hacer si estás cansado y no puedes atacar ni esquivar, pero tampoco quieres que te golpeen?\nBueno, puedes realizar un contraataque hijo.\nUn contraataque es como un jab, pero causa un poco más de daño y, la mejor parte, no requiere nada de energía.\n¿Demasiado bueno para ser cierto? Bueno, dejame advertirte que no es tan fácil de ejecutar.\nDebes bloquear al mismo tiempo que tu oponente lanza un ataque para realizar un contraataque.\nAhora, trata de contraatacar mis jabs"
tut_obj_counter,Counter {0} jabs,Contraataca {0} jabs
tut_txt_12,"Great, I think you're ready kid. Just one more thing...\nYou can counter attack hooks, but it's very risky because of the damage you will recieve if you fail.\nAnyway, if you want to try it, go on. It's not my face after all.\nI'll go watch your fight tonight. I want you to show everyone what you're made of, understood?","Genial, creo que estás listo muchacho. Solo una cosa más...\nPuedes contraatacar ganchos, pero es muy riesgoso debido al daño que recibirás si fallas.\nDe todas formas, si quieres intentarlo, hazlo. No es mi cara después de todo.\nIré a ver tu pelea esta noche. Quiero que le muestres a todos de lo que estás hecho, ¿entendido?"
